raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
300,2023,Winelands Marathon/Half Marathon,2023-11-25,1062,Stellenbosch,WES,,,,False,1,0,0
820,2024,Grand Rapids Marathon,2024-10-20,1054,Grand Rapids,MI,,,,True,1,0,0
1051,2025,Lincoln Marathon,2025-05-04,1054,Lincoln,NE,,,,True,1,0,0
263,2023,Missoula Marathon,2023-06-24,1052,Missoula,MT,,,,True,1,0,0
1222,2025,Route 66 Marathon,2025-11-23,1052,Tulsa,OK,,,,True,1,0,0
309,2023,Salt Lake City Marathon,2023-04-22,1050,Salt Lake City,UT,,,,True,1,0,0
1170,2025,Atlantic City Marathon,2025-10-19,1032,Atlantic City,NJ,,,,True,5,0,0
261,2022,Madison Marathon,2022-11-13,1031,Madison,WI,,,,True,1,0,0
779,2024,Air Force Marathon,2024-09-01,1027,Dayton,OH,,,,True,1,0,0
656,2024,Erie Marathon,2024-09-08,1022,Erie,PA,,,,True,1,0,0
181,2023,Calgary Marathon,2023-05-28,1007,Calgary,AB,,,,False,1,0,0
157,2022,Kansas City Marathon,2022-10-15,1002,Kansas City,MO,,,,True,1,0,0
445,2024,Maine Coast Marathon,2024-05-04,1002,Wells,ME,,,,True,1,0,0
289,2023,Myrtle Beach Marathon,2023-03-04,999,Myrtle Beach,SC,,,,True,1,0,0
307,2024,Louisiana Marathon,2024-01-13,999,Baton Rouge,LA,,,,True,1,0,0
276,2024,Carlsbad Marathon,2024-01-14,997,Carlsbad,CA,,,,True,1,0,0
167,2023,Fargo Marathon,2023-05-15,995,Fargo,ND,,,,True,1,0,0
304,2023,Utah Valley Marathon,2023-06-03,995,Provo,UT,,,,True,1,0,0
236,2023,Little Rock Marathon,2023-03-04,989,Little Rock,AR,,,,True,1,0,0
786,2024,Maine Marathon,2024-10-06,986,Portland,ME,,,,True,1,0,0
346,2022,REVEL Big Cottonwood,2022-09-10,983,Salt Lake City,UT,,,,True,1,0,0
1230,2025,Rehoboth Seashore Marathon,2025-12-06,980,Rehoboth Beach,DE,,,,True,1,0,0
417,2024,Ventura Marathon,2024-02-25,977,Ventura,CA,,,,True,1,0,0
483,2022,Cetilar Maratona di Pisa,2022-12-18,977,Pisa,PIS,,,,False,1,0,0
1199,2025,City of Oaks Marathon,2025-11-02,977,Raleigh,NC,,,,True,1,0,0
232,2023,Route 66 Marathon,2023-11-18,976,Tulsa,OK,,,,True,5,0,0
533,2023,Baystate Marathon,2023-10-15,975,Lowell,MA,,,,True,1,0,0
329,2024,Newport Rhode Race,2024-04-13,972,Newport,RI,,,,True,1,0,0
819,2024,Atlantic City Marathon,2024-10-19,971,Atlantic City,NJ,,,,True,1,0,0
141,2023,Reykjavikur Marathon,2023-08-19,965,Reykjavik,REY,,,,False,1,0,0
282,2023,Santa Rosa Marathon & Half Marathon,2023-08-26,963,Santa Rosa,CA,,,,True,1,0,0
389,2023,Atlantic City Marathon,2023-10-21,951,Atlantic City,NJ,,,,True,1,0,0
756,2024,The Norfolk Marathon,2024-04-28,946,Cromer,NFK,,,,False,1,0,0
26,2023,Carmel Marathon,2023-04-08,945,Carmel,IN,,,,True,5,0,0
655,2023,Erie Marathon,2023-09-10,945,Erie,PA,,,,True,1,0,0
1052,2025,Maine Coast Marathon,2025-05-04,941,Wells,ME,,,,True,1,0,0
1225,2025,Space Coast Marathon,2025-11-30,941,Melbourne,FL,,,,True,1,0,0
299,2022,Winelands Marathon/Half Marathon,2022-11-26,938,Stellenbosch,WES,,,,False,1,0,0
443,2023,Grand Rapids Marathon,2023-10-15,936,Grand Rapids,MI,,,,True,1,0,0
817,2024,Cape Cod Marathon,2024-10-12,931,Falmouth,MA,,,,True,1,0,0
172,2023,Freiburg Marathon,2023-03-25,929,Freiburg,BAD,,,,False,1,0,0
755,2024,Johannesburg City Marathon,2024-03-24,927,Johannesburg,GAU,,,,False,1,0,0
1014,2025,Milwaukee Marathon,2025-04-13,926,Milwaukee,WI,,,,True,1,0,0
489,2024,Revel Rockies,2024-06-01,921,Denver,CO,,,,True,1,0,0
316,2023,Boulderthon,2023-10-08,917,Boulder,CO,,,,True,1,0,0
977,2025,Woodlands Marathon,2025-03-01,916,The Woodlands,TX,,,,True,1,0,0
466,2023,Rocket City Marathon,2023-12-08,915,Huntsville,AL,,,,True,1,0,0
532,2022,Baystate Marathon,2022-10-16,913,Lowell,MA,,,,True,1,0,0
861,2024,Steamtown Marathon,2024-10-13,913,Scranton,PA,,,,True,1,0,0
173,2022,Marathon Touraine Loire Valley,2022-09-25,908,TOURS,IND,,,,False,1,0,0
393,2023,Maine Marathon,2023-10-01,906,Portland,ME,,,,True,1,0,0
193,2023,Brisbane Twighlight Running Festival,2023-06-02,904,Brisbane,QLD,,,,False,1,0,0
647,2023,Six Foot Track Marathon,2023-03-10,902,Sydney,NSW,,,,False,1,0,0
345,2024,Wilmington Marathon,2024-02-21,900,Wilmington,NC,,,,True,1,0,0
433,2023,Cape Cod Marathon,2023-10-07,897,Falmouth,MA,,,,True,1,0,0
1023,2025,Illinois Marathon,2025-04-26,895,Champaign,IL,,,,True,1,0,0
